Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C23, C33, C36, C5",C_0603,5,1uF,C15849
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C26, C27, C28, C29, C32, C4, C53, C54, C55, C56, C57, C58, C59, C6, C7, C8, C9",C_0402,31,100nF,C1525
"C24, C25",C_1206,2,2.2uF,C50254
C3,C_0603,1,10nF,C57112
"C30, C31",C_0402,2,10pF,C32949
"C34, C35, C39, C40, C48, C49, C50, C51, C52",C_0603,9,10uF,C19702
"C37, C38",C_0603,2,1nF,C1588
C41,C_0603,1,100nF,C14663
"C42, C43, C44, C45, C46, C47",C_1206,6,100uF,C15008
"D1, D2",SOD-323_L1.8-W1.3-LS2.5-RD,2,BAT60JFILM,C133103
D3,D_0603,1,Red,C2286
"GAIN_L1, GAIN_R1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"HP_OUT1, IN_JACK1",AUDIO-SMD_PJ-320D-1,2,PJ-320D,C431535
J1,PinHeader_1x02_P2.54mm_Vertical,1,Idd,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"L1, L2",L0603,2,FCM1608KF-601T03,C141723
R1,R_0402,1,1kΩ,C11702
"R10, R13, R14, R15, R16, R9",R_0603,6,10kΩ,C25804
"R11, R12",R_0603,2,1kΩ,C21190
"R17, R18",R_0603,2,4.7kΩ,C23162
"R19, R20",R_0805,2,10Ω,C17415
"R2, R3",R_0402,2,0,
R21,R_0603,1,1MΩ,C22935
"R22, R24, R26",R_0603,3,47kΩ,C25819
"R23, R25",R_0603,2,100kΩ,C25803
"R4, R5",R_0402,2,5.1kΩ,C25905
R6,R_0402,1,10kΩ,C25744
"R7, R8",R_0603,2,22kΩ,C31850
SW1,SW-SMD_K3-1235S-K1,1,K3-1235S,C92660
U.1,LQFP-144_L20.0-W20.0-P0.50-LS22.0-BL,1,STM32F429ZIT6,C84808
U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,LD3985M33R,C46243
U3,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,MCP6004,C7378
U4,QFN-32_L5.0-W5.0-P0.50-BL-EP2.7,1,NAU88C22YG_C914209,C914209
"U5, U6",D0402-BI,2,RCLAMP0521P.TCT_C3029033,C3029033
U7,TSOP-54_L22.2-W10.2-P0.80-LS11.8-BL,1,W9825G6KH-6,C62246
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,1,7V25000014,C337206
